110年01月19日 三大法人日交易資訊(含普通股、零股)依股票代碼排序  不含鉅額交易、綜合帳戶之投信買賣成交量,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
00679B,元大美債20年,0,"42,000","-42,000",0,0,0,0,"42,000","-42,000",0,0,0,0,0,0,"78,000","104,000","-26,000","78,000","104,000","-26,000","-68,000"
00687B,國泰20年美債,0,"46,000","-46,000",0,0,0,0,"46,000","-46,000",0,0,0,0,0,0,"107,000","101,000","6,000","107,000","101,000","6,000","-40,000"
00694B,富邦美債1-3,0,"2,000","-2,000",0,0,0,0,"2,000","-2,000",0,0,0,0,0,0,"106,000","116,005","-10,005","106,000","116,005","-10,005","-12,005"
00695B,富邦美債7-10,0,"7,000","-7,000",0,0,0,0,"7,000","-7,000",0,0,0,0,0,0,"158,000","165,000","-7,000","158,000","165,000","-7,000","-14,000"
00696B,富邦美債20年,0,"34,000","-34,000",0,0,0,0,"34,000","-34,000",0,0,0,0,0,0,"297,000","336,000","-39,000","297,000","336,000","-39,000","-73,000"
00697B,元大美債7-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107,000","122,000","-15,000","107,000","122,000","-15,000","-15,000"
00718B,富邦中國政策債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201,281","241,000","-39,719","201,281","241,000","-39,719","-39,719"
00719B,元大美債1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,000","100,000","3,000","103,000","100,000","3,000","3,000"
00720B,元大投資級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","159,000","-58,000","101,000","159,000","-58,000","-58,000"
00721B,元大中國債3-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,000","101,000","2,000","103,000","101,000","2,000","2,000"
00722B,群益15年IG電信債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","140,000","-39,000","101,000","140,000","-39,000","-39,000"
00723B,群益15年IG科技債,0,"1,000","-1,000",0,0,0,0,"1,000","-1,000",0,0,0,0,0,0,"100,000","104,000","-4,000","100,000","104,000","-4,000","-5,000"
00724B,群益10年IG金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","146,000","-46,000","100,000","146,000","-46,000","-46,000"
00725B,國泰投資級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","124,000","-23,000","101,000","124,000","-23,000","-23,000"
00726B,國泰5Y+新興債,"1,000",0,"1,000",0,0,0,"1,000",0,"1,000",0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000",0
00727B,國泰1-5Y高收債,0,"35,000","-35,000",0,0,0,0,"35,000","-35,000",0,0,0,0,0,0,"100,000","126,000","-26,000","100,000","126,000","-26,000","-61,000"
00734B,台新JPM新興債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"950,000","1,001,003","-51,003","950,000","1,001,003","-51,003","-51,003"
00740B,富邦全球投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
00741B,富邦全球高收債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","112,176","-11,176","101,000","112,176","-11,176","-11,176"
00744B,國泰中國政金債5+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00745B,富邦中政債0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","100,000","1,000","101,000","100,000","1,000","1,000"
00746B,富邦A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","110,000","-10,000","100,000","110,000","-10,000","-10,000"
00747B,FH中國政策債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,000","102,000","1,000","103,000","102,000","1,000","1,000"
00748B,凱基中國債3-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00749B,凱基新興債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","100,000","1,000","101,000","100,000","1,000","1,000"
00750B,凱基科技債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
00751B,元大AAA至A公司債,0,"4,000","-4,000",0,0,0,0,"4,000","-4,000",0,0,0,0,0,0,"102,000","147,000","-45,000","102,000","147,000","-45,000","-49,000"
00754B,群益AAA-AA公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
00755B,群益15年IG公用債,0,"11,000","-11,000",0,0,0,0,"11,000","-11,000",0,0,0,0,0,0,"111,000","111,000",0,"111,000","111,000",0,"-11,000"
00756B,群益15年EM主權債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","103,000","-2,000","101,000","103,000","-2,000","-2,000"
00758B,FH能源債,0,"1,000","-1,000",0,0,0,0,"1,000","-1,000",0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,"-1,000"
00759B,FH製藥債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00760B,FH新興企業債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","100,000","1,000","101,000","100,000","1,000","1,000"
00761B,國泰A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,000","107,000","-2,000","105,000","107,000","-2,000","-2,000"
00764B,群益25年美債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","124,000","-24,000","100,000","124,000","-24,000","-24,000"
00765B,群益中國政金債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00768B,FH20年美債,0,"10,000","-10,000",0,0,0,0,"10,000","-10,000",0,0,0,0,0,0,"110,000","100,000","10,000","110,000","100,000","10,000",0
00772B,中信高評級公司債,0,"76,200","-76,200",0,0,0,0,"76,200","-76,200",0,0,0,0,0,0,"611,000","683,000","-72,000","611,000","683,000","-72,000","-148,200"
00773B,中信優先金融債,0,"24,000","-24,000",0,0,0,0,"24,000","-24,000",0,0,0,0,0,0,"211,000","216,070","-5,070","211,000","216,070","-5,070","-29,070"
00777B,凱基AAA至A公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00778B,凱基金融債20+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00779B,凱基美債25+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00780B,國泰A級金融債,"2,000",0,"2,000",0,0,0,"2,000",0,"2,000",0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,"2,000"
00781B,國泰A級科技債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,000","100,000","2,000","102,000","100,000","2,000","2,000"
00782B,國泰A級公用債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00784B,富邦中國投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107,000","108,000","-1,000","107,000","108,000","-1,000","-1,000"
00785B,富邦金融投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","100,000","1,000","101,000","100,000","1,000","1,000"
00787B,元大10年IG醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000",0,"13,000","13,000",0,"13,000","13,000"
00788B,元大10年IG電能債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000","20,000","1,000","21,000","20,000","1,000","1,000"
00789B,FH公司債A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00790B,FH次順位IG金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,"100,000","100,000",0,0
00791B,FH美元信用債1-5Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
00792B,群益A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
00793B,群益AAA-A醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,000","100,000","1,000","101,000","100,000","1,000","1,000"
